Name;Web Link;Artikel;Versandgewicht;Kurz beschreibung;Beschreibung;Preise;Preise Info;Lieferzeit;Bilder
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1210202-schlauchaufroller-osm-210.html;1.210.202;8 kg;Max. 100bar/130°C, 10m - 10mm ID Hochdruckschlauch 1SN, Gehäuse Stahl lackiert, ABS-Kunststoff;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), In jeder Position montierbar;399,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_660e91299207e82b8e64bf951939c10e.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1214202-schlauchaufroller-osm-210.html;1.214.202;0 kg;Max. 100bar/130°C, 10m - 10mm ID Hochdruckschlauch 1SN, Gehäuse Edelstahl, ABS-Kunststoff;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), Schlauchrollenführung verstellbar, In jeder Position montierbar;536,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_b49b581ac7d5c6adf44b117e8dd9754e.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1210203-schlauchaufroller-osm-210.html;1.210.203;0 kg;Max. 100bar/130°C, 10m - 10mm ID Hochdruckschlauch 1SN blau, abriebfest, Gehäuse Stahl lackiert, ABS-Kunststoff;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), In jeder Position montierbar;399,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_660e91299207e82b8e64bf951939c10e.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1214203-schlauchaufroller-osm-210.html;1.214.203;0 kg;Max. 100bar/130°C, 10m - 10mm ID Hochdruckschlauch 1SN blau, abriebfest, Gehäuse Edelstahl, ABS-Kunststoff;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), Schlauchrollenführung verstellbar, In jeder Position montierbar;536,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/files/cto_theme/img/placeholder.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1214200-schlauchaufroller-osm-210.html;1.214.200;8 kg;Max. 100bar/130°C, Max. 10m - 10mm ID Hochdruckschlauch 1SN, Gehäuse Edelstahl, ABS-Kunststoff, Ohne Schlauch;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), Schlauchrollenführung verstellbar, In jeder Position montierbar;454,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_fafb723835505b9363c729c5ae2b4143.jpg
Schlauchaufroller OSM 310;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1310200-schlauchaufroller-osm-310.html;1.310.200;12 kg;Max. 100bar/130°C, Max. 12m - 10mm/ 15m - 8mm ID 1SN Schlauch, Gehäuse Stahl lackiert, ABS-Kunststoff, Ohne Schlauch;Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 110°, In jeder Position montierbar;365,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_ab43f1e38ccae6b3acd7957fe598b145.jpg
Schlauchaufroller OSM 310;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1310202-schlauchaufroller-osm-310.html;1.310.202;12 kg;Max. 100bar/130°C, 12m - 10mm ID Hochdruckschlauch 1SN, Gehäuse Stahl lackiert, ABS-Kunststoff;Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 110°, In jeder Position montierbar;465,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_d73f7c07d2cb64521951a4ee61954ed4.jpg
LEADER 10;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000050-leader-10.html;5.000.050;33 kg;"30m PVC-Schlauch 3/4"", Turbinenantrieb 10-20m/ Std., Regnerwagen mit 360° Sektorregner,  Wurfweite bis 10m (bei 4bar), Wasserverbrauch 10-15l/min, Durchfluß ca. 0,6-0,9m³/ Std., Führungsrolle für 3/4"" Schlauch,  Maße L x B x H: 140 x 50 x 100cm (ohne Regnerwagen)";Der automatische Bewässerungswagen Leader 10 wird über eine Wasserturbine angetrieben. Er kommt ohne externe Energiequelle aus. Der Leader 10 fährt die vorgegebene Richtung des Schlauches nach und ist damit ideal für Gärten und kleine Grünanlagen. Eine Führungsrolle garantiert, das die Richtung auf dem Schlauch eingehalten wird. Nachdem der Schlauch ganz eingerollt ist, schaltet sich der Leader 10 automatisch am Absperrventil aus. Während der Bewässerung muss der Leader 10 damit nicht beaufsichtigt werden. Ein leicht zu bedienendes und effizientes Bewässerungssystem.;950,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;1 Woche;https://www.ebinger-gmbh.com/isotope/i/img_ceb78f751013d8ab145614a06da5de93.jpg,https://www.ebinger-gmbh.com/isotope/i/img_12513a6e587786d189b5ba2817ea6e00.jpg
LEADER 20;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000080-leader-20.html;5.000.080;33 kg;"40m - 3/4"" PVC-Schlauch, Turbinenantrieb 10-20m/ Std., regulierbarer Beregnungsstärke, Wurfweite bis 10m (bei 4bar), Durchfluß ca. 0,6-0,9m³/ Std., Regnerwagen mit Sektorregner, automatische Abschaltung,  Maße L x B x H: 110 x 50 x 100cm (ohne Regnerwagen)";Der kleinste der Bewässerungswagen der LEADER Baureihe wird mit einer Turbine über den Wasserdurchfluß angetrieben. Ideal für kleine Garten und Parkanlagen, Reitplätze, Reithallen und Weiden sowie zum Einsatz in kleinen Gemüsekulturen. Der Sektorregner kann leicht eingestellt werden und durch die Endabschaltung schaltet sich der Bewässerungswagen bei eingezogenem Schlauch automatisch ab.;1.100,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;6-8 Wochen;https://www.ebinger-gmbh.com/isotope/i/img_dbc2ef861c4db4138c11c1e3235f93fa.jpg,https://www.ebinger-gmbh.com/isotope/i/img_0849efc509bd9c08fad0f39498a3ab24.jpg
LEADER 63;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/leader-bewaesserungswagen/id-5000420-leader-63.html;5.000.420;360 kg;"110m PE-Schlauch 2"", Turbinenantrieb 10-30m/ Std., regulierbarer Beregnungsstärke, Wurfweite bis 25m (bei 6bar), Durchfluß ca. 7,5-21m³/ Std., Regnerwagen mit Sektorregner, automatische Abschaltung,  Maße L x B x H: 165 x 125 x 170cm (ohne Regnerwagen)";Der LEADER 63 Bewässerungswagen ist ideal zum Bewässern von großen Flächen wie z.B. Rasenflächen, Reihenkulturen im Gemüsebau und der Landwirtschaft.;6.900,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;6-8 Wochen;https://www.ebinger-gmbh.com/isotope/i/img_d3651c827fca1bd4ec84757cf6f8cecd.jpg,https://www.ebinger-gmbh.com/isotope/i/img_ec8a3c895ae50cdeb38abb947b2a6f5d.jpg
